year	datetime	stage	regular_season	playoffs	opponent	seed	opponent_seed	home_away	home	away	status	played	postponed	future	new_date	outcome	win	loss	tie	forfeit	runs_scored	runs_allowed	note
2001	2001-04-26 17:30:00	regular season	True	False	Toxic Waste						played	True	False	False		loss	False	True	False	False	6	18	
2001	2001-05-01 17:30:00	regular season	True	False	Diamondbacks						played	True	False	False		loss	False	True	False	False	5	38	
2001	2001-05-09 17:30:00	regular season	True	False	Capitalist Pigs						played	True	False	False		loss	False	True	False	False	9	13	
2001	2001-05-15 17:30:00	regular season	True	False	Disclaimers						played	True	False	False		loss	False	True	False	False	6	13	
2001	2001-06-06 17:30:00	regular season	True	False	Free Radicals						played	True	False	False		loss	False	True	False	False	8	9	
2001	2001-06-19 17:30:00	regular season	True	False	Diamondbacks						played	True	False	False		loss	False	True	False	False	11	18	
2001	2001-06-28 17:30:00	regular season	True	False	Capitalist Pigs						played	True	False	False		loss	False	True	False	False	5	19	
2001	2001-07-09 17:30:00	regular season	True	False	Disclaimers						played	True	False	False		loss	False	True	False	False	7	12	
2001	2001-07-26 17:30:00	regular season	True	False	Toxic Waste						played	True	False	False		loss	False	True	False	True	0	7	
2001	2001-08-01 17:30:00	regular season	True	False	Free Radicals						played	True	False	False		win	True	False	False	False	18	5	
2001	2001-08-08 17:30:00	regular season	True	False	Cretins						played	True	False	False		loss	False	True	False	False	8	15	
2001	2001-08-14 17:30:00	regular season	True	False	Cretins						played	True	False	False		loss	False	True	False	False	12	19	
2001	2001-08-21 17:30:00	playoffs	False	True	Free Radicals	6					played	True	False	False		win	True	False	False	False	19	6	
2001	2001-08-27 17:30:00	playoffs	False	True	Toxic Waste	6					played	True	False	False		loss	False	True	False	False	7	17	
2001	2001-08-29 17:30:00	playoffs	False	True	Capitalist Pigs	6					played	True	False	False		loss	False	True	False	False	6	16	
2002	2002-05-08 17:30:00	regular season	True	False	Diamondbacks						played	True	False	False		win	True	False	False	False	10	7	
2002	2002-05-13 17:30:00	regular season	True	False	Capitalist Pigs						played	True	False	False		win	True	False	False	False	18	12	
2002	2002-05-20 17:30:00	regular season	True	False	Disclaimers						played	True	False	False		loss	False	True	False	False	8	13	
2002	2002-06-05 17:30:00	regular season	True	False	Institute All-Stars						played	True	False	False		win	True	False	False	True	7	0	
2002	2002-06-10 17:30:00	regular season	True	False	Free Radicals						played	True	False	False		win	True	False	False	False	21	2	
2002	2002-06-19 17:30:00	regular season	True	False	Cretins						played	True	False	False		win	True	False	False	False	13	10	
2002	2002-06-27 17:30:00	regular season	True	False	Toxic Waste						played	True	False	False		loss	False	True	False	False	5	18	
2002	2002-07-10 17:30:00	regular season	True	False	Diamondbacks						played	True	False	False		loss	False	True	False	False	10	15	rain-shortened
2002	2002-07-16 17:30:00	regular season	True	False	Capitalist Pigs						played	True	False	False		loss	False	True	False	False	8	12	
2002	2002-07-22 17:30:00	regular season	True	False	Disclaimers						played	True	False	False		loss	False	True	False	False	7	8	
2002	2002-07-31 17:30:00	regular season	True	False	Institute All-Stars						played	True	False	False		loss	False	True	False	False	5	17	
2002	2002-08-05 17:30:00	regular season	True	False	Free Radicals						played	True	False	False		win	True	False	False	True	7	0	
2002	2002-08-14 17:30:00	regular season	True	False	Cretins						played	True	False	False		win	True	False	False	False	18	10	
2002	2002-08-22 17:30:00	regular season	True	False	Toxic Waste						played	True	False	False		loss	False	True	False	False	2	21	
