year	month	day	opponent	playoffs	seed	opponent_seed	home_away	postponed	resched_month	resched_day	outcome	forfeit	runs_scored	runs_allowed	note
2016	8	31	bandITS	y	2	3	h								
2016	8	10	bandITS				a				w		12	6	doubleheader, game 2
2016	8	10	bandITS				a				w		8	2	doubleheader, game 1
2016	8	4	Sudden Impact				h				w	y	7	0	
2016	7	27	Ochos				h				w		9	6	
2016	7	20	Loose Cannons				h				l		3	14	
2016	7	6	Toxic Waste				a				l		21	22	
2016	6	30	Corn Wallaces				a				w		21	8	5 innings, mercy rule
2016	6	22	Toxic Waste				a	y	7	6					field maintenance
2016	6	8	PHRD Sox				h				w		19	7	6 innings, mercy rule
2016	6	6	bandITS				h	y	8	10					rain
2016	5	24	Sudden Impact				a				w		22	6	6 innings, mercy rule
2016	5	17	bandITS				h	y	6	6					rain
2016	5	10	Ochos				a				w		12	10	8 innings
2015	9	23	Loose Cannons	y	2	1	a				l		9	18	
2015	9	17	Chuck Norris All-Stars	y	2	4	h				l		18	20	
2015	9	10	Corn Wallaces	y	2	3	h				w	y	7	0	
2015	8	25	Loose Cannons				a				l		11	12	
2015	8	18	Chuck Norris All-Stars				h				w		21	16	
2015	8	5	PHRD Sox				h				w		23	0	4 innings, mercy rule
2015	7	30	Corn Wallaces				a				w		21	4	4 innings, mercy rule
2015	7	23	Toxic Waste				h				w		13	0	5 innings, mercy rule
2015	7	15	Ochos				a				w		15	7	
2015	7	9	Loose Cannons				h				l		2	9	
2015	6	25	Chuck Norris All-Stars				a				w		20	14	
2015	6	10	PHRD Sox				a				w		25	7	5 innings, mercy rule
2015	6	2	Corn Wallaces				h				w		15	7	
2015	5	19	Toxic Waste				a				l		18	19	
2015	5	13	Ochos				h				w		19	7	5 innings, mercy rule
2014	9	16	Toxic Waste	y	4	3	a				l		10	22	
2014	9	10	PHRD Sox	y	4	6	h				w		22	11	
2014	9	9	PHRD Sox	y	4	6	h	y	9	10					rain
2014	9	8	PHRD Sox	y	4	6	h	y	9	9					rain
2014	9	4	PHRD Sox	y	4	6	h	y	9	8					rain
2014	8	28	Chuck Norris All-Stars	y	4	1	a				l		9	13	
2014	8	26	Corn Wallaces	y	4	5	h				w		11	6	
2014	8	14	Toxic Waste				h				w		21	9	
2014	8	6	PHRD Sox				h				w		30	4	5 innings, mercy rule
2014	8	1	Toxic Waste				h	y	8	14					rain
2014	7	31	Loose Cannons				a				l		6	12	
